,plot_id,yield,blue-blue-444,blue-green,blue-green-531,blue-nir,blue-red,blue-red-650,blue-red-edge,blue-red-edge-705,blue-red-edge-740,blue-444-green,blue-444-green-531,blue-444-nir,blue-444-red,blue-444-red-650,blue-444-red-edge,blue-444-red-edge-705,blue-444-red-edge-740,green-green-531,green-nir,green-red,green-red-650,green-red-edge,green-red-edge-705,green-red-edge-740,green-531-nir,green-531-red,green-531-red-650,green-531-red-edge,green-531-red-edge-705,green-531-red-edge-740,nir-red,nir-red-650,nir-red-edge,nir-red-edge-705,nir-red-edge-740,red-red-650,red-red-edge,red-red-edge-705,red-red-edge-740,red-650-red-edge,red-650-red-edge-705,red-650-red-edge-740,red-edge-red-edge-705,red-edge-red-edge-740,red-edge-705-red-edge-740
34,44,1090.146358,0.84259415,-0.5129981,0.6225825,-0.93976283,-0.1977857,0.77558196,-0.8394209,0.40617204,-0.30825472,-0.94634163,-0.4603047,-0.9947298,-0.89127433,-0.19180855,-0.9852118,-0.6616928,-0.9118488,0.8617204,-0.8268183,0.34902838,0.92106926,-0.5759866,0.76191014,0.23971194,-0.9859817,-0.72857535,0.29383102,-0.96077967,-0.28996813,-0.78095233,0.90870523,0.9920127,0.4829096,0.9747365,0.89209485,0.8444471,-0.765877,0.5569215,-0.12127548,-0.977859,-0.5368683,-0.87031406,0.92992854,0.7173642,-0.6357902
35,43,981.6758027,0.84279674,-0.48978287,0.64110076,-0.9395742,-0.17901829,0.7841596,-0.8320598,0.42864764,-0.29319865,-0.9431529,-0.43724337,-0.9947058,-0.8876556,-0.17211455,-0.9844907,-0.646329,-0.90989536,0.86129063,-0.8347232,0.3403932,0.92036986,-0.57926285,0.7600055,0.22587758,-0.98662406,-0.7353877,0.28665537,-0.961023,-0.29238603,-0.7862108,0.9141126,0.9925039,0.49851692,0.9758453,0.89432883,0.8448031,-0.766965,0.5639673,-0.122334756,-0.9780799,-0.5336835,-0.87466073,0.93005913,0.7125634,-0.64270014
36,41,738.4753791,0.8405032,-0.47367105,0.64911807,-0.9375091,-0.1800356,0.78599906,-0.8277427,0.43562558,-0.27779603,-0.93990177,-0.4200182,-0.9944436,-0.8861839,-0.15931992,-0.98383427,-0.6364988,-0.9055367,0.8593738,-0.83593005,0.32103088,0.91806287,-0.5842707,0.75500953,0.22225101,-0.9865535,-0.74211353,0.2790006,-0.96109647,-0.29694498,-0.78502434,0.9106722,0.9922866,0.49616614,0.9754157,0.894517,0.8468316,-0.76066417,0.5706841,-0.1051218,-0.9777108,-0.5314946,-0.87143284,0.9294856,0.71431273,-0.63757235
37,40,942.1599982,0.84051764,-0.51453036,0.62199974,-0.9394508,-0.18898773,0.7786363,-0.8390827,0.40991575,-0.3041662,-0.9458952,-0.45627022,-0.9946197,-0.88785565,-0.17705964,-0.9849712,-0.6552502,-0.91037303,0.86172664,-0.8245679,0.35911202,0.9228785,-0.573246,0.7644145,0.24651988,-0.98578155,-0.7241746,0.30289322,-0.9604725,-0.28452644,-0.77862436,0.91040105,0.9921407,0.48015475,0.9746762,0.8919123,0.8440603,-0.769929,0.55432826,-0.12466125,-0.9782621,-0.5399446,-0.87241054,0.9301867,0.7187888,-0.6357015
38,39,918.9163077,0.83782107,-0.4967394,0.6326018,-0.9370731,-0.17915894,0.78123564,-0.8317499,0.42306027,-0.28033957,-0.9423366,-0.4354014,-0.99429625,-0.8841716,-0.16277234,-0.9839532,-0.64076185,-0.9047314,0.86001974,-0.8251134,0.34870726,0.92077374,-0.57234126,0.7610617,0.24887705,-0.9856385,-0.7292349,0.29329312,-0.9598564,-0.28587857,-0.7754693,0.9108332,0.99208575,0.48177603,0.9743602,0.8925318,0.84279233,-0.76691896,0.5598342,-0.10809091,-0.9777639,-0.53403807,-0.8701135,0.9289537,0.71908784,-0.6299693
39,64,932.3433714,0.8411824,-0.5134411,0.6245505,-0.94252324,-0.1940214,0.77481884,-0.8431742,0.39429957,-0.32661822,-0.9459181,-0.45393592,-0.99491864,-0.88934875,-0.18806751,-0.98544127,-0.6668512,-0.9138674,0.86273783,-0.83516103,0.35262084,0.9207899,-0.58481866,0.7561981,0.22004451,-0.9867719,-0.7279772,0.28969386,-0.96205544,-0.30580282,-0.78947383,0.91221887,0.9922456,0.4943139,0.9752378,0.89389825,0.8429975,-0.77184623,0.5442437,-0.14588207,-0.97824436,-0.54583126,-0.8732825,0.9297836,0.7135769,-0.6385664
40,62,752.3726086,0.84264904,-0.4790536,0.6452992,-0.91989994,-0.23587595,0.76248574,-0.8154563,0.40943554,-0.21737412,-0.9412691,-0.42648318,-0.99289507,-0.89829373,-0.21916184,-0.98273575,-0.6569778,-0.8866328,0.86149037,-0.80244976,0.27046663,0.90646875,-0.5631988,0.7463571,0.28653014,-0.9835038,-0.75902337,0.22651327,-0.9589607,-0.32177186,-0.7529084,0.86132073,0.9877218,0.44703883,0.96810335,0.8908747,0.8476394,-0.7053091,0.5810368,0.0011225486,-0.9713725,-0.50658965,-0.81929034,0.9215833,0.73380154,-0.57259345
41,61,556.0160173,0.8430085,-0.48066646,0.64762753,-0.933523,-0.2029749,0.7759832,-0.8312061,0.41315588,-0.26684225,-0.94186705,-0.42787218,-0.9941573,-0.8926712,-0.19181131,-0.98440576,-0.6571668,-0.9032343,0.8615706,-0.8257641,0.30676627,0.91474235,-0.5872286,0.74746436,0.24171628,-0.9858021,-0.7503579,0.25673726,-0.9619784,-0.32008258,-0.77880806,0.8983871,0.9911345,0.46871158,0.9726496,0.8925491,0.8464316,-0.7525619,0.56687516,-0.07253222,-0.9767171,-0.5317815,-0.85841966,0.92750394,0.7266192,-0.6124619
42,60,846.7447473,0.8410575,-0.51629,0.6209921,-0.94149023,-0.1971737,0.7736528,-0.84365,0.39251032,-0.32057306,-0.94634503,-0.45876953,-0.99482346,-0.89016414,-0.19140539,-0.98547834,-0.6678457,-0.91332245,0.8621319,-0.83035666,0.35410887,0.9212856,-0.5824901,0.7570656,0.23095705,-0.98630214,-0.7274509,0.29249,-0.96163124,-0.30202395,-0.78498113,0.9116677,0.99218035,0.4842141,0.9745883,0.89262354,0.84281594,-0.772685,0.54595244,-0.1349272,-0.9783628,-0.54522306,-0.8728689,0.9295751,0.7174093,-0.63375276
43,59,949.9428841,0.8415666,-0.4894252,0.6409446,-0.93475443,-0.18980414,0.77987164,-0.82715845,0.41865706,-0.2733666,-0.9425903,-0.43318185,-0.9942138,-0.88892025,-0.17735007,-0.9838358,-0.65046483,-0.9036952,0.8615481,-0.8249453,0.32949057,0.9182473,-0.5708818,0.75534385,0.24542359,-0.98571604,-0.7394515,0.27681714,-0.9600663,-0.30357665,-0.7768909,0.9026301,0.99144953,0.48564443,0.9734443,0.8930406,0.8454062,-0.75326383,0.5624418,-0.09294941,-0.9766014,-0.53433716,-0.8627109,0.92658633,0.7164877,-0.6207871
