,plot_id,yield,blue-blue_444,blue-green,blue-green_531,blue-red_650,blue-red,blue-red_edge_705,blue-red_edge,blue-red_edge_740,blue-nir,blue_444-green,blue_444-green_531,blue_444-red_650,blue_444-red,blue_444-red_edge_705,blue_444-red_edge,blue_444-red_edge_740,blue_444-nir,green-green_531,green-red_650,green-red,green-red_edge_705,green-red_edge,green-red_edge_740,green-nir,green_531-red_650,green_531-red,green_531-red_edge_705,green_531-red_edge,green_531-red_edge_740,green_531-nir,red_650-red,red_650-red_edge_705,red_650-red_edge,red_650-red_edge_740,red_650-nir,red-red_edge_705,red-red_edge,red-red_edge_740,red-nir,red_edge_705-red_edge,red_edge_705-red_edge_740,red_edge_705-nir,red_edge-red_edge_740,red_edge-nir,red_edge_740-nir
46,54,1009.465888,0.005282431,-0.48752636,-0.4822146,-0.24112913,-0.17103888,-0.7006477,-0.83470166,-0.9290081,-0.9432452,-0.49174246,-0.48637548,-0.24627464,-0.17632811,-0.7035861,-0.8364825,-0.92976207,-0.9438962,0.006624894,0.27942607,0.34542447,-0.3244752,-0.58658636,-0.80795646,-0.844788,0.27333134,0.33943203,-0.3304327,-0.59121096,-0.8104418,-0.8468307,0.07325346,-0.5536885,-0.7439609,-0.8870418,-0.909473,-0.60207814,-0.77455544,-0.90150285,-0.9211677,-0.3243517,-0.65630203,-0.7179067,-0.42274752,-0.51455474,-0.11848083
45,55,1012.490258,-0.007795049,-0.48068854,-0.46470606,-0.31374753,-0.26388517,-0.69666684,-0.81360286,-0.9093655,-0.92591465,-0.4739534,-0.45787174,-0.30752662,-0.25753093,-0.6920459,-0.8097139,-0.9068551,-0.9238402,0.019716807,0.19463202,0.242578,-0.3250824,-0.55497825,-0.7729802,-0.81240237,0.17582141,0.22412147,-0.34245297,-0.5690267,-0.78170556,-0.81987554,0.052715357,-0.4845747,-0.66288877,-0.82442594,-0.85459536,-0.5197722,-0.6852084,-0.8345263,-0.86275405,-0.28162435,-0.6005192,-0.66411585,-0.3917822,-0.4792569,-0.10885256
44,56,942.6476586,-0.003651366,-0.48019105,-0.4675232,-0.2805495,-0.22487237,-0.6989872,-0.8235132,-0.91710687,-0.93150026,-0.477085,-0.46441644,-0.27768025,-0.22203694,-0.696903,-0.82163846,-0.91584146,-0.93045163,0.015829043,0.22895889,0.28239644,-0.32996485,-0.57231534,-0.78709376,-0.82227904,0.21393788,0.2678149,-0.3438786,-0.5830548,-0.79330015,-0.8276906,0.058731552,-0.51725984,-0.7009167,-0.8516293,-0.87642294,-0.5567544,-0.7263414,-0.8638649,-0.88658583,-0.29938924,-0.61901176,-0.6771591,-0.39714262,-0.47917005,-0.10234693
43,59,949.9428841,0.006991903,-0.47696564,-0.46795097,-0.24718949,-0.18569419,-0.69533765,-0.8290117,-0.9253553,-0.93987364,-0.48228797,-0.47337633,-0.25389633,-0.19263142,-0.69858056,-0.8310046,-0.9261066,-0.94046235,0.011443963,0.26005667,0.31851315,-0.32728708,-0.5844178,-0.8056031,-0.841774,0.24928026,0.30800354,-0.33739865,-0.5920031,-0.8095387,-0.84506017,0.064454496,-0.5404475,-0.73044074,-0.8776567,-0.9009031,-0.583598,-0.7581024,-0.8908078,-0.911598,-0.31846914,-0.6506808,-0.7113485,-0.42168713,-0.5111399,-0.115299
42,60,846.7447473,-0.011592047,-0.4718082,-0.45733285,-0.32606727,-0.2798377,-0.6965038,-0.80920404,-0.9011489,-0.9185889,-0.46183866,-0.44717553,-0.31695428,-0.2707987,-0.6895308,-0.8033093,-0.89705807,-0.91514766,0.01761631,0.16892476,0.21337634,-0.33501065,-0.5559348,-0.7622939,-0.80154943,0.1521225,0.19688535,-0.3504606,-0.56867623,-0.7707253,-0.808805,0.048885692,-0.47060466,-0.64350265,-0.80003655,-0.83256495,-0.50298744,-0.6638189,-0.80919963,-0.84007776,-0.27328914,-0.5775321,-0.6406427,-0.37220028,-0.45683444,-0.10299129
41,61,556.0160173,-0.005391331,-0.45634454,-0.44460064,-0.29015687,-0.24775533,-0.68569696,-0.80872256,-0.9049989,-0.9208882,-0.45155838,-0.4397262,-0.2860266,-0.24368311,-0.682425,-0.8058574,-0.9029052,-0.91912967,0.01419582,0.18902564,0.23022354,-0.33469874,-0.5649023,-0.7735277,-0.8096177,0.17544493,0.216905,-0.34707564,-0.5748856,-0.7798952,-0.81509346,0.044654105,-0.48840952,-0.6693148,-0.82476074,-0.8524433,-0.51897764,-0.68895745,-0.8341331,-0.86019045,-0.28509414,-0.5948699,-0.6538466,-0.38009447,-0.4611164,-0.09927361
40,62,752.3726086,-0.010928728,-0.44151732,-0.42263192,-0.3369642,-0.3025694,-0.67584705,-0.779471,-0.87110835,-0.88806796,-0.4315034,-0.4124772,-0.32823133,-0.29397547,-0.66863066,-0.77298784,-0.8660392,-0.88349164,0.022088652,0.12147717,0.15471806,-0.335996,-0.5312185,-0.7218692,-0.7569871,0.10019292,0.13374457,-0.3553508,-0.54780215,-0.73392344,-0.7678553,0.036079776,-0.4310797,-0.5889547,-0.74186796,-0.7721634,-0.45480072,-0.6033814,-0.7477807,-0.7768515,-0.24059702,-0.5164991,-0.57113034,-0.3283222,-0.39867058,-0.082509845
39,64,932.3433714,-0.010799739,-0.45360997,-0.43423063,-0.3213909,-0.28725243,-0.6800176,-0.7930026,-0.88836604,-0.90648705,-0.44393376,-0.42424858,-0.3128368,-0.27893734,-0.6728406,-0.78649485,-0.8834835,-0.90225476,0.023361368,0.15193807,0.18415679,-0.3285194,-0.5422497,-0.7469993,-0.7858446,0.12957527,0.1622293,-0.3490785,-0.559224,-0.7584134,-0.7958323,0.035387035,-0.45026395,-0.62002224,-0.7779941,-0.8105275,-0.4732018,-0.63346595,-0.7829742,-0.8144089,-0.26254958,-0.56075865,-0.62180835,-0.36235344,-0.4433279,-0.09791405
57,65,848.6800814,0.002200157,-0.4640859,-0.44560346,-0.24926089,-0.21007983,-0.69194275,-0.8230697,-0.9212167,-0.93553686,-0.46614805,-0.44775707,-0.2518315,-0.21243158,-0.6935624,-0.8240406,-0.92166966,-0.9359527,0.022826638,0.2424732,0.2809753,-0.3371923,-0.58286244,-0.8004787,-0.83515215,0.22091123,0.2596433,-0.3572777,-0.5978326,-0.8086287,-0.84208417,0.041628707,-0.5352192,-0.721623,-0.8719828,-0.8950382,-0.5635433,-0.7402463,-0.88105047,-0.90249854,-0.30598733,-0.6355511,-0.69447327,-0.41046703,-0.4949116,-0.10712448
56,66,920.0140905,-0.014155855,-0.4545918,-0.43128476,-0.32913682,-0.29678097,-0.68812233,-0.7954229,-0.88855547,-0.90731066,-0.44247112,-0.4186095,-0.3174515,-0.285308,-0.6799065,-0.78846705,-0.88360137,-0.9030668,0.028123712,0.1447029,0.17671658,-0.34075433,-0.54590225,-0.7471447,-0.78741634,0.117934145,0.1501935,-0.3653987,-0.566021,-0.7603507,-0.7989873,0.034569092,-0.45618376,-0.61924976,-0.7754336,-0.80985636,-0.4794046,-0.6341488,-0.7822282,-0.81531525,-0.25348344,-0.54897416,-0.6136557,-0.3564001,-0.4409501,-0.10180806
55,67,792.4941618,-0.003435435,-0.47959724,-0.46828353,-0.26059988,-0.21383493,-0.705188,-0.8326794,-0.92537296,-0.9390198,-0.47729963,-0.4658079,-0.2579454,-0.21109022,-0.7040257,-0.83192277,-0.92492926,-0.9387233,0.014414742,0.24979052,0.29519892,-0.34212476,-0.58963484,-0.8031314,-0.83747476,0.23636204,0.28203195,-0.35498178,-0.5994916,-0.80858576,-0.84205395,0.04945576,-0.5450069,-0.73052025,-0.8756863,-0.8982221,-0.57822794,-0.75200635,-0.8862893,-0.9070076,-0.3107253,-0.6367168,-0.6955249,-0.4077993,-0.4926618,-0.107180126
54,69,858.42673,-0.000592101,-0.47324342,-0.45696893,-0.2522955,-0.20778696,-0.7010255,-0.82934606,-0.92361003,-0.9374135,-0.47292277,-0.45666316,-0.25191954,-0.20736472,-0.70095855,-0.82911754,-0.9234755,-0.93735725,0.02052268,0.2505408,0.29357517,-0.34193748,-0.5879636,-0.8020185,-0.8361446,0.231225,0.27471358,-0.35993767,-0.6014009,-0.80936855,-0.8424186,0.046881355,-0.5450623,-0.7290495,-0.8746057,-0.89701074,-0.5766362,-0.7496073,-0.8846961,-0.905398,-0.30833626,-0.6346866,-0.6930954,-0.40720564,-0.49102888,-0.10564646
53,70,900.1512209,-0.012334249,-0.45988247,-0.43710908,-0.3204153,-0.28940725,-0.6936784,-0.80248934,-0.8950853,-0.9130027,-0.44935453,-0.42615736,-0.31022418,-0.27924407,-0.68647385,-0.7965107,-0.89106095,-0.9095642,0.027739914,0.16173553,0.19120848,-0.34359735,-0.5540828,-0.7571449,-0.796129,0.13527012,0.16525717,-0.36762947,-0.57372946,-0.76987743,-0.8071888,0.032246538,-0.47281125,-0.63823295,-0.7930124,-0.8254857,-0.49343663,-0.6504334,-0.7974808,-0.8289907,-0.26133835,-0.5624155,-0.62562764,-0.36460823,-0.44803876,-0.100883394
52,73,892.2502468,-0.016637102,-0.46204045,-0.44259953,-0.32847393,-0.29606265,-0.69471496,-0.8020609,-0.8931842,-0.91098976,-0.44815892,-0.42836532,-0.31465623,-0.28233707,-0.6851999,-0.7944605,-0.8880489,-0.906599,0.023745118,0.15554479,0.18682814,-0.34348863,-0.5519155,-0.75235057,-0.79124343,0.132913,0.16459179,-0.3642377,-0.5690426,-0.76371276,-0.8011573,0.034182865,-0.4672906,-0.6321124,-0.786219,-0.8188544,-0.4895846,-0.6459105,-0.7920625,-0.8236037,-0.25919354,-0.55585927,-0.61863613,-0.35829127,-0.4408649,-0.09931467
51,74,785.0458591,-0.017845916,-0.44445634,-0.4229126,-0.32792825,-0.30292305,-0.68396723,-0.7926197,-0.88593173,-0.90303665,-0.42940995,-0.40757072,-0.31273982,-0.28788102,-0.67399156,-0.7847035,-0.8804971,-0.89834976,0.025968637,0.13411498,0.15889989,-0.34545872,-0.5476701,-0.7442598,-0.78068423,0.10917608,0.13426581,-0.36797303,-0.56611645,-0.75668424,-0.7915896,0.02652438,-0.4522315,-0.6174962,-0.7737116,-0.8047252,-0.47067696,-0.6293669,-0.7793006,-0.80935776,-0.25103053,-0.5412446,-0.59974533,-0.34686682,-0.42283565,-0.0902012
50,75,979.9875791,-0.017661804,-0.41854945,-0.39053765,-0.3539201,-0.3360104,-0.6655701,-0.7594571,-0.84876406,-0.8673181,-0.40287772,-0.3745796,-0.33916304,-0.3211788,-0.65443695,-0.7499195,-0.8414935,-0.8608146,0.032732844,0.07665788,0.0941142,-0.34476337,-0.51590896,-0.69316345,-0.72867113,0.04496291,0.06277416,-0.37337002,-0.54032785,-0.71116495,-0.7449449,0.018820012,-0.40242746,-0.54740375,-0.69731665,-0.73018855,-0.41423798,-0.55413437,-0.69939256,-0.7317314,-0.21114872,-0.46589783,-0.5200464,-0.29511333,-0.3612963,-0.07518584
49,77,1035.27909,-0.012877404,-0.45265272,-0.42903477,-0.32582578,-0.29761672,-0.6872308,-0.7931962,-0.8872874,-0.90519065,-0.4414179,-0.41741967,-0.31526008,-0.28703362,-0.6793435,-0.78639376,-0.8824037,-0.9009758,0.028355753,0.14687154,0.17376368,-0.34144002,-0.5437566,-0.7455497,-0.783659,0.11982772,0.14715649,-0.36613476,-0.56435597,-0.7594191,-0.79584825,0.029384922,-0.4581765,-0.61938936,-0.7763833,-0.8087158,-0.47687775,-0.63017017,-0.7800756,-0.8115397,-0.25048527,-0.5468853,-0.60772276,-0.3553858,-0.43445238,-0.09474888
