,plot_id,yield,blue-blue-444,blue-green,blue-green-531,blue-nir,blue-red,blue-red-650,blue-red-edge,blue-red-edge-705,blue-red-edge-740,blue-444-green,blue-444-green-531,blue-444-nir,blue-444-red,blue-444-red-650,blue-444-red-edge,blue-444-red-edge-705,blue-444-red-edge-740,green-green-531,green-nir,green-red,green-red-650,green-red-edge,green-red-edge-705,green-red-edge-740,green-531-nir,green-531-red,green-531-red-650,green-531-red-edge,green-531-red-edge-705,green-531-red-edge-740,nir-red,nir-red-650,nir-red-edge,nir-red-edge-705,nir-red-edge-740,red-red-650,red-red-edge,red-red-edge-705,red-red-edge-740,red-650-red-edge,red-650-red-edge-705,red-650-red-edge-740,red-edge-red-edge-705,red-edge-red-edge-740,red-edge-705-red-edge-740
20,37,762.6506541,0.00491036,-0.47208953,-0.48772815,-0.9380613,-0.19293898,-0.25340986,-0.8307879,-0.70759857,-0.924358,-0.4758433,-0.49153972,-0.93881595,-0.19727284,-0.2576528,-0.83249605,-0.7098702,-0.9252554,-0.020256247,-0.83978826,0.30578324,0.24824601,-0.5934959,-0.35468534,-0.80631775,-0.83342063,0.32398662,0.26708072,-0.579844,-0.33676016,-0.7988516,0.90726113,0.8968508,0.49482474,0.6916407,0.1055019,-0.06335879,-0.75629795,-0.5938248,-0.8871508,-0.72980267,-0.552654,-0.8745624,0.3025409,-0.41152996,-0.6333334
21,35,761.6709595,0.008443946,-0.462988,-0.4778931,-0.9310029,-0.20914724,-0.26340055,-0.824364,-0.70392424,-0.91707194,-0.4699405,-0.4848706,-0.93260664,-0.21648954,-0.2704164,-0.82774776,-0.7084242,-0.91905355,-0.019110113,-0.8287873,0.2785544,0.22699152,-0.59003836,-0.35817966,-0.7962963,-0.822318,0.29580027,0.24486284,-0.5770846,-0.3413932,-0.7886891,0.8903181,0.8809808,0.47355363,0.670524,0.098633386,-0.05659079,-0.7360631,-0.57489836,-0.8690671,-0.7127289,-0.53843814,-0.8578773,0.29450288,-0.3943993,-0.61401767
22,33,933.9135068,0.0046224007,-0.468955,-0.48262477,-0.9430543,-0.1772579,-0.23708865,-0.8341984,-0.7052348,-0.9285727,-0.47223005,-0.48595518,-0.9435172,-0.18150374,-0.24103414,-0.83547634,-0.707258,-0.92921084,-0.017582031,-0.851885,0.31780344,0.26082504,-0.60175633,-0.35405996,-0.8159781,-0.8466456,0.3336647,0.27725255,-0.5899952,-0.33846933,-0.80978423,0.91908026,0.909136,0.51655746,0.7139317,0.120164305,-0.06274553,-0.7699273,-0.60301554,-0.8986549,-0.74371916,-0.56228817,-0.88625336,0.31516296,-0.42362458,-0.6506167
23,31,916.9372373,0.015537507,-0.46908906,-0.4816522,-0.93349123,-0.22397038,-0.2834725,-0.82485217,-0.7065921,-0.91701835,-0.48175436,-0.4937655,-0.9360323,-0.23767662,-0.2971855,-0.830417,-0.71462286,-0.92017317,-0.015336745,-0.83511674,0.27048793,0.21367516,-0.58830386,-0.3555616,-0.7972651,-0.829748,0.2845398,0.22808023,-0.57785773,-0.34195662,-0.79091096,0.8877511,0.8779646,0.492549,0.68275625,0.11476217,-0.06287016,-0.7259643,-0.56565845,-0.8611822,-0.7000526,-0.52486455,-0.8491504,0.29466262,-0.40117425,-0.6173798
24,30,967.9994418,0.0058102636,-0.47248182,-0.4868277,-0.9390759,-0.18211545,-0.24703234,-0.8314034,-0.7057609,-0.9246959,-0.4770833,-0.49143803,-0.9399986,-0.18722953,-0.2520484,-0.8334787,-0.7086923,-0.9258678,-0.018298835,-0.84302425,0.31637478,0.25501478,-0.5948832,-0.3512433,-0.80783206,-0.8371745,0.33265454,0.27212888,-0.5826208,-0.33500278,-0.80102295,0.9103287,0.899522,0.5029477,0.6999333,0.113139436,-0.06782256,-0.7615763,-0.59870476,-0.88963306,-0.73359925,-0.5548751,-0.876456,0.3084207,-0.41453153,-0.6387155
25,29,817.91811,0.015321432,-0.4534782,-0.4717146,-0.9221633,-0.23943481,-0.2934648,-0.81078017,-0.69867,-0.9049677,-0.46635115,-0.48429984,-0.9255505,-0.25254804,-0.30634877,-0.8173265,-0.70697427,-0.90906894,-0.022472557,-0.81962734,0.23651528,0.18458557,-0.57645273,-0.35894385,-0.7822834,-0.8113448,0.257186,0.20586486,-0.5607062,-0.3392805,-0.7725898,0.86292595,0.85321003,0.47094756,0.65302557,0.10594073,-0.057060085,-0.69486624,-0.54156536,-0.83494693,-0.67046535,-0.5043287,-0.82323974,0.27436835,-0.3848919,-0.58945
26,28,1124.153568,0.004634996,-0.46992713,-0.4818008,-0.9412332,-0.17255104,-0.23859273,-0.8319596,-0.7034227,-0.9262919,-0.47399852,-0.48542345,-0.9418927,-0.17673413,-0.2428606,-0.8333608,-0.7055138,-0.927167,-0.014691952,-0.8482293,0.32314068,0.26079422,-0.5969502,-0.349131,-0.81159675,-0.84348357,0.3364914,0.27445891,-0.58703613,-0.33616015,-0.80588365,0.9162675,0.9054672,0.5133885,0.71027213,0.12119454,-0.069052435,-0.7678858,-0.6029195,-0.8953307,-0.7392266,-0.5580109,-0.8819079,0.3138111,-0.41973078,-0.6462756
27,26,818.5391664,0.014370029,-0.41171435,-0.4370422,-0.90159,-0.26926225,-0.3025795,-0.7869787,-0.6750648,-0.8844102,-0.42431536,-0.4491734,-0.9052984,-0.28151345,-0.314827,-0.7934154,-0.6834184,-0.8886014,-0.030201543,-0.7949224,0.15743175,0.12459619,-0.5662132,-0.3649921,-0.760708,-0.7825646,0.18598583,0.1536119,-0.5447345,-0.33859372,-0.7468129,0.8184616,0.8129303,0.42939982,0.60737616,0.088231415,-0.035083376,-0.64160854,-0.48574466,-0.78984153,-0.6266935,-0.4622783,-0.78319246,0.25439307,-0.35546464,-0.5505065
28,51,883.0896655,0.015276097,-0.40514123,-0.42688245,-0.8884347,-0.28267398,-0.3181518,-0.7701633,-0.66103345,-0.8680764,-0.41888565,-0.44024593,-0.89357966,-0.29514328,-0.33072928,-0.7783086,-0.67054653,-0.8739791,-0.02532458,-0.7798522,0.13555662,0.10131369,-0.54880637,-0.35087192,-0.7412698,-0.7683441,0.15938385,0.12555338,-0.5300555,-0.3285169,-0.7282121,0.78568864,0.7806593,0.42215762,0.59343976,0.09520607,-0.037111446,-0.60268134,-0.45112872,-0.75173396,-0.5876579,-0.42658865,-0.745431,0.24664263,-0.34196123,-0.53142434
29,50,783.0055577,0.002605111,-0.45376724,-0.46715847,-0.935237,-0.20095572,-0.2547364,-0.8226305,-0.6904383,-0.92086977,-0.45594046,-0.46935675,-0.93583274,-0.2029536,-0.25672713,-0.823816,-0.69178575,-0.9215853,-0.01686999,-0.8391912,0.2759853,0.22409852,-0.59141374,-0.34507766,-0.80572045,-0.83399606,0.2914866,0.24003704,-0.58013827,-0.33016935,-0.7995782,0.90070575,0.89099115,0.49521926,0.6960018,0.10461836,-0.056365423,-0.7398577,-0.56494546,-0.8791026,-0.7153838,-0.526775,-0.8673942,0.30949354,-0.4125025,-0.63850456
