,plot_id,blue-blue_444,blue-green,blue-green_531,blue-red_650,blue-red,blue-red_edge_705,blue-red_edge,blue-red_edge_740,blue-nir,blue_444-green,blue_444-green_531,blue_444-red_650,blue_444-red,blue_444-red_edge_705,blue_444-red_edge,blue_444-red_edge_740,blue_444-nir,green-green_531,green-red_650,green-red,green-red_edge_705,green-red_edge,green-red_edge_740,green-nir,green_531-red_650,green_531-red,green_531-red_edge_705,green_531-red_edge,green_531-red_edge_740,green_531-nir,red_650-red,red_650-red_edge_705,red_650-red_edge,red_650-red_edge_740,red_650-nir,red-red_edge_705,red-red_edge,red-red_edge_740,red-nir,red_edge_705-red_edge,red_edge_705-red_edge_740,red_edge_705-nir,red_edge-red_edge_740,red_edge-nir,red_edge_740-nir
20,20,0.00029622647,-0.46717778,-0.4550777,-0.23475893,-0.18072909,-0.69256896,-0.82849747,-0.9266116,-0.9406058,-0.46753433,-0.4555801,-0.23529278,-0.18115833,-0.69300485,-0.828758,-0.9267163,-0.9407291,0.014912221,0.26093814,0.31252223,-0.33421817,-0.5908235,-0.81145084,-0.8458979,0.24685755,0.29884523,-0.34744984,-0.60063607,-0.8165681,-0.85027975,0.05663706,-0.54708254,-0.73699546,-0.8841969,-0.90612733,-0.5848773,-0.7612052,-0.89556897,-0.9153991,-0.32015824,-0.6555764,-0.71440464,-0.42555502,-0.5125324,-0.1121457
21,21,0.012954953,-0.44480476,-0.43967757,-0.31382796,-0.2552779,-0.6745458,-0.7905586,-0.8896767,-0.90699774,-0.45428628,-0.44731727,-0.3249604,-0.26865646,-0.68288547,-0.7944543,-0.890199,-0.90723634,0.008373736,0.15090008,0.20846921,-0.32990414,-0.54423046,-0.75307184,-0.7892103,0.14346929,0.20108138,-0.33651772,-0.5513425,-0.7582125,-0.79402965,0.06224224,-0.4507279,-0.62179583,-0.78370845,-0.81469065,-0.49544853,-0.65287596,-0.7997727,-0.8284973,-0.26333377,-0.5656877,-0.62274075,-0.36796862,-0.44358605,-0.09161751
22,22,-0.014004606,-0.45547882,-0.43857232,-0.31451428,-0.27520713,-0.6875674,-0.80178815,-0.8975807,-0.91336685,-0.44363916,-0.42662722,-0.30273426,-0.26325482,-0.6795391,-0.7955004,-0.89354074,-0.9098971,0.020336265,0.16209103,0.20004718,-0.33837137,-0.5545835,-0.76115316,-0.79608154,0.14255519,0.18090737,-0.35607722,-0.5690829,-0.7705487,-0.8042988,0.041263856,-0.46912298,-0.6414318,-0.8008709,-0.8294413,-0.4965813,-0.65861404,-0.8084033,-0.83565724,-0.26746666,-0.57248574,-0.62890124,-0.3693556,-0.4446082,-0.09109194
23,23,-0.022038255,-0.43561444,-0.4141106,-0.3481541,-0.32026052,-0.67281955,-0.7742686,-0.86832017,-0.8879258,-0.4163651,-0.3947249,-0.32942647,-0.30178693,-0.65935373,-0.76312345,-0.8605903,-0.8811282,0.024972847,0.102301344,0.128217,-0.3370415,-0.52709514,-0.7211918,-0.760548,0.07826916,0.10459475,-0.3588595,-0.5458002,-0.734715,-0.7725654,0.028480846,-0.41617808,-0.57211286,-0.7312632,-0.76693577,-0.4337139,-0.58134574,-0.7332335,-0.7680893,-0.23352122,-0.514099,-0.5750676,-0.3335693,-0.41103238,-0.0913563
24,24,-0.0010757223,-0.4864161,-0.47342357,-0.2645333,-0.20391375,-0.7033529,-0.8297078,-0.9239127,-0.93738925,-0.48547012,-0.4725593,-0.26388836,-0.20326093,-0.7028288,-0.8291116,-0.923492,-0.93702126,0.016555808,0.25380233,0.3114548,-0.33073613,-0.57831585,-0.79805964,-0.8319939,0.2382717,0.29643324,-0.34541982,-0.58949393,-0.8042378,-0.83723897,0.06365741,-0.53788733,-0.7218337,-0.8703665,-0.89272475,-0.5802486,-0.7490319,-0.88322794,-0.90340316,-0.30651388,-0.6359939,-0.6926145,-0.41171885,-0.49302164,-0.102830395
25,25,-0.014411932,-0.45277667,-0.43204415,-0.33915204,-0.29883245,-0.6855096,-0.7860947,-0.8786866,-0.89557797,-0.4402088,-0.41912854,-0.3273416,-0.2871696,-0.6766983,-0.7783715,-0.8729934,-0.89053184,0.024629265,0.13308968,0.17168362,-0.33859667,-0.5324969,-0.7302622,-0.7657917,0.10948609,0.14860582,-0.36014226,-0.5507977,-0.74308866,-0.7772777,0.04221903,-0.44366795,-0.59832495,-0.754785,-0.7854507,-0.47103944,-0.61504877,-0.76132345,-0.7907149,-0.23851378,-0.52540934,-0.5810349,-0.340868,-0.41194934,-0.08391781
26,26,-0.014493828,-0.44959778,-0.42494062,-0.3149896,-0.28155458,-0.68387204,-0.79376745,-0.88876003,-0.90550935,-0.43736336,-0.4121889,-0.30264488,-0.26922128,-0.6754702,-0.78733957,-0.8846079,-0.9018188,0.030003639,0.1539567,0.18648876,-0.33891115,-0.5451602,-0.74707484,-0.7829527,0.12513202,0.15813258,-0.3651518,-0.5665222,-0.7608786,-0.7952524,0.035273872,-0.46286052,-0.6272409,-0.7834874,-0.8133177,-0.48640195,-0.6422122,-0.7901751,-0.8188866,-0.254691,-0.55081946,-0.60788107,-0.35572937,-0.42991358,-0.08856874
27,27,-0.018201662,-0.4598346,-0.44155443,-0.3287286,-0.28392985,-0.69431895,-0.79850787,-0.890112,-0.90822715,-0.44510463,-0.4254788,-0.3141187,-0.26878145,-0.6839399,-0.7900335,-0.88446355,-0.90333354,0.023031969,0.1514712,0.19526994,-0.34419167,-0.5472784,-0.74844956,-0.78771985,0.1294549,0.17378461,-0.3643278,-0.5639975,-0.7592347,-0.7971934,0.048158243,-0.46378443,-0.6223699,-0.7761778,-0.8094697,-0.49621913,-0.6438272,-0.7870456,-0.81856513,-0.25171462,-0.5480581,-0.61131287,-0.35782418,-0.44056726,-0.1001052
28,28,-0.004832834,-0.48585272,-0.47504678,-0.24406257,-0.17785123,-0.7062911,-0.833806,-0.92737985,-0.94202983,-0.48203486,-0.47067025,-0.23952185,-0.17348371,-0.70418364,-0.8324032,-0.92646325,-0.94135255,0.01393539,0.273872,0.33605954,-0.33710632,-0.5878117,-0.80637217,-0.843856,0.26095748,0.32334602,-0.34943917,-0.5973307,-0.81198233,-0.84852296,0.069188036,-0.5583123,-0.73948014,-0.88209486,-0.90560734,-0.60329694,-0.768158,-0.89548016,-0.91638315,-0.31414935,-0.6467628,-0.7107044,-0.42030853,-0.51399124,-0.12151306
29,29,-0.015503839,-0.48471695,-0.46696833,-0.30669856,-0.25292543,-0.70738274,-0.81758696,-0.9090807,-0.9255781,-0.47201386,-0.45397747,-0.2936935,-0.23969166,-0.69905424,-0.8109712,-0.9049547,-0.92218167,0.022201253,0.20607263,0.25734875,-0.33967626,-0.5610546,-0.77273107,-0.8114953,0.18504114,0.23693933,-0.3591387,-0.5766738,-0.78238076,-0.8197511,0.05704069,-0.5047931,-0.67063844,-0.82317346,-0.8531892,-0.5418872,-0.69501007,-0.83482736,-0.8628802,-0.27447426,-0.5895807,-0.65321875,-0.38506922,-0.47128707,-0.10619952
30,30,-0.0060206573,-0.49212,-0.47807235,-0.25307366,-0.18817613,-0.7093505,-0.8339112,-0.9260241,-0.9401085,-0.4873144,-0.47334012,-0.24789308,-0.18291056,-0.7063558,-0.8317842,-0.92482316,-0.9391759,0.017780092,0.27193382,0.33248132,-0.33562514,-0.5832199,-0.8013756,-0.83744335,0.25530282,0.316752,-0.3514547,-0.59519047,-0.80805165,-0.84324527,0.06793544,-0.55520356,-0.7338413,-0.87656593,-0.89961845,-0.5990436,-0.761789,-0.88970417,-0.9104096,-0.30868155,-0.6390768,-0.70031416,-0.41495532,-0.5034729,-0.11345105
31,31,-0.015851334,-0.49399057,-0.48252317,-0.29793134,-0.23839165,-0.715188,-0.83070827,-0.9202349,-0.9360976,-0.48173016,-0.4695649,-0.2838809,-0.2244835,-0.7070451,-0.82511306,-0.91704994,-0.93353283,0.014617218,0.22764233,0.2841534,-0.34286723,-0.57863843,-0.79121673,-0.8300235,0.21394214,0.27075413,-0.3559334,-0.58864534,-0.7974582,-0.8353214,0.06289755,-0.5252364,-0.7002127,-0.8490954,-0.8779705,-0.5660511,-0.72613436,-0.86110485,-0.88772935,-0.29484713,-0.6176193,-0.6830464,-0.4014881,-0.493041,-0.11513423
32,32,-0.021469535,-0.4462155,-0.4292729,-0.32055992,-0.28522894,-0.6885121,-0.7954179,-0.88728195,-0.9069839,-0.42842796,-0.4109621,-0.30262414,-0.26666808,-0.67677176,-0.78607154,-0.881063,-0.90178955,0.020829983,0.14368892,0.17794503,-0.35122466,-0.5550351,-0.7515175,-0.7927144,0.12383343,0.15857996,-0.36950693,-0.5701101,-0.76148874,-0.80134046,0.03776113,-0.46307433,-0.62340266,-0.7747851,-0.81060266,-0.48731908,-0.63882077,-0.78189474,-0.8164281,-0.25558338,-0.54936874,-0.6168459,-0.35650852,-0.44512096,-0.10726382
33,33,-0.0049869246,-0.4863327,-0.47302958,-0.241917,-0.1825858,-0.7078543,-0.8358572,-0.9293624,-0.94361424,-0.48277357,-0.4695788,-0.2376861,-0.1780071,-0.7057176,-0.83452934,-0.9286983,-0.9431432,0.017015537,0.2769624,0.33325303,-0.33911052,-0.590538,-0.8101183,-0.8469038,0.26102686,0.31788954,-0.35424694,-0.60204446,-0.8161618,-0.85207796,0.06267769,-0.56258523,-0.74394286,-0.88637453,-0.9092445,-0.6031825,-0.7700902,-0.89875877,-0.919165,-0.31542918,-0.65094143,-0.7142746,-0.42397305,-0.517031,-0.1204796
34,34,-0.008703975,-0.4740482,-0.45998666,-0.3063018,-0.25171065,-0.700556,-0.81171405,-0.9027571,-0.91974795,-0.46625155,-0.45210245,-0.29960403,-0.2450685,-0.6954353,-0.80715865,-0.8993377,-0.9168912,0.017744502,0.19334377,0.2450527,-0.33926615,-0.5591438,-0.7653375,-0.8036114,0.17673947,0.22897397,-0.35503492,-0.5720664,-0.77370703,-0.8108628,0.057553437,-0.49372745,-0.66063285,-0.8105754,-0.8413212,-0.53132594,-0.6847247,-0.8219477,-0.85077286,-0.27288458,-0.5785539,-0.64074713,-0.37361988,-0.4570176,-0.10150363
